Antigua and Barbuda,,,,,,,,,,,,,,,,,,,37000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37000.00,,,,,,,,,,37000.00,,,,,,,,,,35000.00,,,,,,,,,,35000.00,,,,,,,,,,37000.00,,,,,,,,,,35000.00,,,,,,,,,,32000.00,,,,,,,,,,30000.00,,,,,,,,,,,,,,,,,,,,,,,,,42000.00,,,,46301.00,48316.00,49906.00,51117.00,52002.00,52625.00,53061.00,53393.00,53711.00,54107.00,54657.00,55408.00,56362.00,57472.00,58653.00,59844.00,61032.00,62226.00,63401.00,64528.00,65587.00,66554.00,67419.00,68182.00,68848.00,69420.00,69910.00,70301.00,70533.00,70525.00,70228.00,69639.00,68803.00,67792.00,66701.00,65614.00,64539.00,63510.00,62669.00,62192.00,62202.00,62754.00,63802.00,65238.00,66895.00,68642.00,70450.00,72322.00,74190.00,75985.00,77656.00,79165.00,80507.00,81716.00,82838.00,83916.00,84952.00,85935.00,86881.00,87802.00,88710.00,89612.00,90510.00,91404.00
Argentina,,,,,,,,,,,,,,,,,,,534000.00,,,,,,,,,,,,,,,,,,,,534000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000.00,,,,,,,,,,,,,,,,,,,,1796000.00,,,,,,,,,,,,,,,,,,,,3376000.00,,,,,,,,,,4693000.00,4873000.00,5060000.00,5254000.00,5455000.00,5664000.00,5881000.00,6107000.00,6341000.00,6584000.00,6836000.00,7098000.00,7370000.00,7653000.00,7885000.00,8072000.00,8226000.00,8374000.00,8518000.00,8672000.00,8861000.00,9092000.00,9368000.00,9707000.00,10054000.00,10358000.00,10652000.00,10965000.00,11282000.00,11592000.00,11896000.00,12167000.00,12402000.00,12623000.00,12834000.00,13044000.00,13260000.00,13490000.00,13724000.00,13984000.00,14169000.00,14402000.00,14638000.00,14877000.00,15130000.00,15390000.00,15654000.00,15942000.00,16307000.00,16737000.00,17150335.00,17506378.00,17865382.00,18223955.00,18579614.00,18930778.00,19276813.00,19617988.00,19955368.00,20290620.00,20625451.00,20961000.00,21297317.00,21633126.00,21966478.00,22296628.00,22622012.00,22944941.00,23273148.00,23616971.00,23983358.00,24376109.00,24791983.00,25222223.00,25654154.00,26078731.00,26492716.00,26899177.00,27303001.00,27711808.00,28131040.00,28561561.00,29001060.00,29447973.00,29899743.00,30354240.00,30810984.00,31269799.00,31729130.00,32187173.00,32642442.00,33093579.00,33540023.00,33982035.00,34420352.00,34855160.00,35287113.00,35714929.00,36134642.00,36541029.00,36930709.00,37302116.00,37657340.00,38001251.00,38340778.00,38681174.00,39023850.00,39368066.00,39714298.00,40062470.00,40412376.00,40764561.00,41118986.00,41473982.00
Armenia,,,,,,,,,,,,,,,,,,,413326.00,,,,,,,,,,,,,,,,,,,,413326.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353506.00,1382982.00,1419913.00,1463017.00,1511188.00,1563508.00,1619242.00,1677837.00,1738902.00,1802171.00,1867396.00,1934239.00,2002170.00,2070427.00,2138133.00,2204650.00,2269475.00,2332624.00,2394635.00,2456370.00,2518408.00,2580894.00,2643464.00,2705584.00,2766495.00,2825650.00,2882831.00,2938181.00,2991954.00,3044564.00,3096298.00,3145885.00,3192877.00,3239212.00,3287588.00,3339147.00,3396511.00,3457054.00,3510439.00,3542720.00,3544695.00,3512051.00,3449940.00,3370373.00,3290540.00,3223173.00,3172185.00,3134836.00,3109101.00,3090624.00,3076098.00,3065810.00,3061067.00,3060554.00,3062612.00,3065954.00,3069844.00,3074181.00,3079087.00,3084979.00,3092072.00,3100236.00,3108972.00,3117722.00
Aruba,,,,,,,,,,,,,,,,,,,19286.00,,,,,,,,,,,,,,,,,,,,19286.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38066.00,38263.00,38966.00,40151.00,41765.00,43729.00,45935.00,48244.00,50500.00,52536.00,54209.00,55436.00,56227.00,56698.00,57031.00,57362.00,57714.00,58052.00,58388.00,58725.00,59066.00,59439.00,59849.00,60238.00,60524.00,60654.00,60589.00,60366.00,60108.00,59980.00,60099.00,60570.00,61347.00,62208.00,62833.00,63030.00,62645.00,61830.00,61069.00,61026.00,62147.00,64642.00,68286.00,72573.00,76762.00,80323.00,83069.00,85161.00,86827.00,88442.00,90271.00,92363.00,94596.00,96875.00,99046.00,100996.00,102711.00,104225.00,105526.00,106612.00,107488.00,108141.00,108587.00,108883.00
Australia,450000.00,,,,,,,,,,,,,,,,,,351014.00,,,,,,,,,,,,,,,,,,,,334000.00,331000.00,329000.00,329000.00,332000.00,333000.00,330000.00,328000.00,326000.00,326000.00,330000.00,333000.00,338000.00,349000.00,354000.00,358000.00,367000.00,373000.00,388000.00,403000.00,420000.00,448000.00,465000.00,472000.00,482000.00,494000.00,505000.00,518000.00,538000.00,576000.00,605000.00,636000.00,710000.00,795000.00,887000.00,983000.00,1065000.00,1156000.00,1235000.00,1279000.00,1326000.00,1346000.00,1382000.00,1432000.00,1495000.00,1558000.00,1609000.00,1647000.00,1700000.00,1750000.00,1775000.00,1675000.00,1722000.00,1769000.00,1822000.00,1874000.00,1929000.00,1995000.00,2062000.00,2127000.00,2197000.00,2269000.00,2348000.00,2447000.00,2556000.00,2650000.00,2741000.00,2835000.00,2932000.00,3022000.00,3107000.00,3196000.00,3274000.00,3334000.00,3395000.00,3460000.00,3523000.00,3586000.00,3642000.00,3691000.00,3741000.00,3795000.00,3850000.00,3896000.00,3946000.00,4004000.00,4062000.00,4127000.00,4197000.00,4278000.00,4375000.00,4500000.00,4661000.00,4821000.00,4933000.00,4971000.00,4955000.00,4950000.00,5032000.00,5193000.00,5358000.00,5461000.00,5574000.00,5697000.00,5819000.00,5943000.00,6064000.00,6188000.00,6304000.00,6396000.00,6469000.00,6527000.00,6579000.00,6631000.00,6682000.00,6732000.00,6783000.00,6841000.00,6904000.00,6971000.00,7042000.00,7111000.00,7173000.00,7236000.00,7309000.00,7389000.00,7474000.00,7578000.00,7715000.00,7919000.00,8177344.00,8398540.00,8604679.00,8804552.00,9004634.00,9209085.00,9419635.00,9635700.00,9854726.00,10072762.00,10286184.00,10493531.00,10697112.00,10903699.00,11122567.00,11359763.00,11617580.00,11892163.00,12175746.00,12457299.00,12728362.00,12987847.00,13236895.00,13472175.00,13690285.00,13889696.00,14067994.00,14227905.00,14379565.00,14536839.00,14709918.00,14901610.00,15109659.00,15332790.00,15567927.00,15812088.00,16066496.00,16330369.00,16596096.00,16853690.00,17096153.00,17320633.00,17529469.00,17727413.00,17921818.00,18118416.00,18319637.00,18525153.00,18734878.00,18947894.00,19164351.00,19382188.00,19604051.00,19840120.00,20103822.00,20403520.00,20744295.00,21119988.00,21513817.00,21902300.00,22268384.00,22605732.00,22918688.00,23213944.00
Austria,2500000.00,,,,,,,,,,,,,,,,,,3205587.00,,,,,,,,,,,,,,,,,,,,3369000.00,3386000.00,3402000.00,3419000.00,3436000.00,3452000.00,3469000.00,3486000.00,3504000.00,3521000.00,3538000.00,3555000.00,3573000.00,3590000.00,3608000.00,3626000.00,3614000.00,3662000.00,3680000.00,3698000.00,3716000.00,3739000.00,3762000.00,3785000.00,3808000.00,3831000.00,3855000.00,3878000.00,3902000.00,3926000.00,3950000.00,3978000.00,4006000.00,4035000.00,4063000.00,4092000.00,4120000.00,4150000.00,4178000.00,4206000.00,4235000.00,4263000.00,4292000.00,4321000.00,4350000.00,4380000.00,4409000.00,4439000.00,4469000.00,4499000.00,4520000.00,4562000.00,4604000.00,4646000.00,4688000.00,4730000.00,4772000.00,4815000.00,4857000.00,4899000.00,4941000.00,4985000.00,5030000.00,5075000.00,5121000.00,5166000.00,5212000.00,5257000.00,5303000.00,5348000.00,5394000.00,5446000.00,5504000.00,5563000.00,5622000.00,5680000.00,5739000.00,5798000.00,5856000.00,5915000.00,5973000.00,6035000.00,6099000.00,6164000.00,6228000.00,6292000.00,6357000.00,6421000.00,6485000.00,6550000.00,6614000.00,6669000.00,6724000.00,6767000.00,6806000.00,6843000.00,6825000.00,6785000.00,6727000.00,6420000.00,6455000.00,6504000.00,6528000.00,6543000.00,6562000.00,6582000.00,6603000.00,6623000.00,6643000.00,6664000.00,6684000.00,6705000.00,6725000.00,6746000.00,6760000.00,6761000.00,6758000.00,6755000.00,6753000.00,6653000.00,6705000.00,6745000.00,6783000.00,6808000.00,6834000.00,6799000.00,7000000.00,6971000.00,6956000.00,6943000.00,6936445.00,6930746.00,6929474.00,6931618.00,6936580.00,6944174.00,6954658.00,6968701.00,6987299.00,7011632.00,7042634.00,7080528.00,7124432.00,7172179.00,7220812.00,7268015.00,7312775.00,7355039.00,7394601.00,7431574.00,7465908.00,7497731.00,7526469.00,7550638.00,7568347.00,7578498.00,7580564.00,7575669.00,7566450.00,7556551.00,7548798.00,7544359.00,7543194.00,7545472.00,7550960.00,7559621.00,7570906.00,7585345.00,7605095.00,7632984.00,7670513.00,7719577.00,7778255.00,7839625.00,7894229.00,7935624.00,7960464.00,7971553.00,7976117.00,7984694.00,8004712.00,8038480.00,8083059.00,8134235.00,8185553.00,8232196.00,8273208.00,8309783.00,8341806.00,8369639.00,8393644.00,8413429.00,8428915.00,8441263.00
Azerbaijan,,,,,,,,,,,,,,,,,,,879960.00,,,,,,,,,,,,,,,,,,,,879960.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2895997.00,2964962.00,3044695.00,3132625.00,3226823.00,3326002.00,3429548.00,3537490.00,3650388.00,3769151.00,3894494.00,4026358.00,4163396.00,4302765.00,4440733.00,4574500.00,4702919.00,4826262.00,4944932.00,5059921.00,5172002.00,5281238.00,5387375.00,5490572.00,5591016.00,5688997.00,5784587.00,5878259.00,5971198.00,6064905.00,6160502.00,6258490.00,6358780.00,6461139.00,6565062.00,6670151.00,6775858.00,6882160.00,6989708.00,7099449.00,7211692.00,7327570.00,7445925.00,7562075.00,7669735.00,7764798.00,7845310.00,7913692.00,7975648.00,8039312.00,8110723.00,8191464.00,8280252.00,8376733.00,8479668.00,8587902.00,8701719.00,8821012.00,8943600.00,9066604.00,9187783.00,9306023.00,9421233.00,9533445.00
Bahamas,,,,,,,,,,,,,,,,,,,27350.00,,,,,,,,,,,,,,,,,,,,27350.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000.00,,,,,,,,,,35000.00,,,,,,,,,,39000.00,,,,,,,,,,44000.00,,,,,,,,,,48000.00,,,,,,,,,,54000.00,,,,,,,,,,56000.00,,,,,,,,,,53000.00,,,,,,,,,,60000.00,,,,,,,,,,,,69000.00,,,,,,,79088.00,79982.00,81426.00,83368.00,85773.00,88616.00,91890.00,95601.00,99765.00,104405.00,109527.00,115112.00,121090.00,127340.00,133709.00,140063.00,146379.00,152623.00,158644.00,164263.00,169367.00,173875.00,177849.00,181490.00,185091.00,188870.00,192885.00,197090.00,201474.00,205990.00,210600.00,215330.00,220188.00,225083.00,229899.00,234553.00,238989.00,243236.00,247409.00,251671.00,256128.00,260845.00,265761.00,270701.00,275426.00,279774.00,283677.00,287217.00,290571.00,293988.00,297651.00,301606.00,305801.00,310201.00,314739.00,319358.00,324066.00,328861.00,333661.00,338358.00,342877.00,347176.00,351275.00,355233.00
Bahrain,,,,,,,,,,,,,,,,,,,64474.00,,,,,,,,,,,,,,,,,,,,64474.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64474.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81882.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115612.00,116860.00,119567.00,123402.00,128072.00,133321.00,138929.00,144713.00,150526.00,156258.00,161825.00,167179.00,172294.00,177170.00,181833.00,186351.00,190734.00,195111.00,199818.00,205291.00,211878.00,219532.00,228255.00,238468.00,250683.00,265160.00,282245.00,301559.00,321751.00,340980.00,357957.00,372074.00,383785.00,394164.00,404829.00,416929.00,430845.00,446142.00,462184.00,477995.00,492891.00,506685.00,519696.00,532362.00,545329.00,559069.00,574914.00,592986.00,611237.00,626765.00,638193.00,642510.00,642070.00,647164.00,671760.00,724807.00,811410.00,925733.00,1052359.00,1169578.00,1261835.00,1323535.00,1359485.00,1377273.00
Bangladesh,15789473.00,,,,,,,,,,,,,,,,,,19227358.00,,,,,,,,,,,,,,,,,,,,20000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24721000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31786000.00,,,,,,,,,,,,,,,,34427000.00,,,,,,,,,,,,38173021.00,,,,,37894678.00,,,,37894678.00,39112507.00,40207573.00,41257838.00,42322978.00,43444382.00,44644395.00,45927072.00,47280463.00,48680410.00,50101943.00,51531438.00,52977254.00,54474293.00,56071080.00,57791778.00,59681186.00,61702785.00,63703327.00,65474474.00,66881158.00,67849312.00,68461849.00,68933357.00,69567500.00,70582168.00,72053923.00,73915723.00,76066342.00,78342736.00,80624423.00,82883616.00,85156396.00,87459802.00,89828434.00,92283598.00,94825499.00,97429290.00,100062322.00,102681627.00,105256026.00,107768749.00,110225555.00,112645460.00,115059015.00,117486952.00,119928682.00,122370403.00,124803351.00,127214841.00,129592275.00,131944584.00,134266428.00,136514768.00,138633401.00,140587922.00,142353501.00,143956805.00,145478300.00,147030145.00,148692131.00,150493658.00,152408774.00,154393847.00
