,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
El Salvador,1448.482693,1454.63785,1578.000466,1594.153982,1688.405635,1724.74034,1793.470666,1836.519578,1842.823729,1854.814217,1858.801127,1879.89035,1944.029195,1988.338287,2045.029552,2057.583613,2115.388548,2213.084039,2286.365667,2151.630046,1866.76999,1645.881493,1519.944409,1522.366733,1522.595823,1512.387577,1496.320283,1515.177156,1524.580161,1519.388511,1570.97123,1603.255749,1697.753264,1795.106898,1876.888622,1972.441477,1985.50847,2052.178529,2114.139302,2173.993733,2209.158531,2236.676532,2280.123013,2324.453014,2359.459417,2423.670833,2515.48239,2621.651096,2676.493585,
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,618.3956867,574.5267642,576.6187506,572.5427745,547.8310471,547.1261754,522.2025458,557.8075052,572.1475282,580.7247868,641.4243247,801.5392079,1328.724521,1569.775931,2153.308595,2371.461001,3728.558451,4328.602862,4796.24643,6438.629062,6876.646419,6778.591463,8016.535567,8692.030885,
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,135.0252718,153.4261483,185.7415807,189.5469152,203.950081,215.3690277,213.2685012,206.5904211,173.2413718,181.4474935,179.2953498,167.3071634,162.9505779,160.9209322,153.9299822,151.0694702,149.5337637,
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3397.01278,3420.124338,3590.941075,3696.656899,3775.153948,3769.21253,3783.54666,3885.893098,3971.39553,4077.543329,3787.108797,3502.001986,2811.098517,2718.897164,2730.906735,2858.168937,3065.559667,3464.602684,3734.337012,3751.693539,4144.382928,4473.569843,4848.134597,5234.348551,5631.544837,6175.933154,6803.691211,7304.001564,7048.030008,
Ethiopia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,141.9368172,139.262892,146.1115796,137.4324001,118.2281361,125.5578686,138.4447088,134.7233113,129.9131675,129.0819719,115.8783054,102.2859536,111.8970477,111.7574582,114.9569391,125.4513032,125.7467638,118.0994156,120.8891144,124.8504995,131.6819575,130.218859,124.1296854,137.3616785,149.6572718,161.6474292,175.0062561,189.8014514,
Faeroe Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23169.92602,..,..,..,..,..,..,..,..,
Fiji,1109.353367,1109.925249,1110.956545,1142.281216,1160.38592,1096.582338,1068.114031,1182.144261,1247.797254,1253.25896,1383.092087,1447.713457,1524.075481,1666.558422,1676.034031,1652.473812,1666.490393,1733.700174,1734.403341,1908.863569,1838.284967,1908.080695,1748.238399,1637.390967,1737.466556,1631.658144,1742.083326,1620.545365,1634.290305,1752.8036,1845.42147,1779.861777,1866.297215,1880.430643,1950.010433,1974.937541,2048.358355,1984.861694,1994.053639,2152.878322,2100.723035,2127.7471,2181.435832,2189.421127,2291.188689,2292.846651,2360.327203,2190.433029,2180.909831,
Finland,7305.221748,7806.135866,7985.210827,8189.181793,8568.930146,8993.672638,9172.909293,9320.986011,9492.39723,10409.77849,11231.15466,11470.94459,12294.37106,13079.69369,13431.0525,13615.42172,13608.46744,13616.04597,13929.11544,14864.08075,15533.2897,15664.92384,16048.36348,16422.85855,16832.47773,17313.73656,17710.57504,18285.00432,19147.84791,20139.98112,20059.66808,18702.01064,17903.41635,17654.74073,18202.98158,18846.64384,19479.11751,20627.10194,21649.4845,22444.1805,23530.12389,24111.66562,24431.64731,24814.84556,25657.54724,26277.64789,27465.67527,28498.47822,28626.7255,
France,7482.06856,7809.775925,8181.820274,8470.841865,8928.416751,9266.408668,9665.982055,10037.40625,10384.68766,11018.96173,11544.60964,12033.99215,12483.79247,13196.04991,13697.17704,13502.5638,14042.43265,14477.25594,14984.62492,15446.99927,15625.9618,15679.5681,15969.23444,16081.71029,16249.61201,16454.58727,16783.86707,17121.92747,17821.72063,18378.62388,18759.6333,18864.02081,19028.45837,18775.13149,19121.89589,19459.19335,19607.38592,19976.96868,20602.66084,21194.27244,21914.07186,22201.54705,22270.61245,22300.35324,22707.01302,22998.40148,23321.30812,23636.37272,23605.14644,
French Polynesia,..,..,..,..,..,8675.782078,9178.656851,8434.106492,9348.446559,8779.580913,8621.101667,9342.383692,8624.380308,9012.389761,10311.86671,9508.507615,9976.362205,9876.702596,10528.51836,10616.63442,10354.14543,10907.16358,11649.43293,11933.63514,12236.91478,12563.19441,13281.02826,13887.08854,13897.37947,14000.05029,14003.05037,14384.84298,14222.3316,13957.63006,13799.7217,13608.1778,13397.43969,13405.16554,13984.01867,14291.14443,14610.83454,..,..,..,..,..,..,..,..,
Gabon,1826.881249,2085.259104,2227.004521,2347.071758,2436.782941,2620.340614,2717.496093,2806.051189,2848.647226,3041.276462,3254.11662,3520.018212,3833.092162,4121.481682,5603.790787,6508.032943,8598.870676,7320.56668,5412.346443,5290.098736,5273.504229,5383.531774,5064.65636,5190.27422,5412.593991,5126.058568,4929.886851,3959.693452,4330.754413,4554.442317,4639.962355,4766.756799,4471.966188,4501.928959,4526.434865,4612.778073,4647.070958,4783.412341,4824.51217,4287.194356,4108.803224,4103.003443,4004.773988,4019.632298,3992.708489,4033.658247,4004.146469,4148.426906,4167.590912,
Gambia,..,..,..,..,..,..,292.1230678,283.622201,301.5797571,299.3598375,307.3681226,296.5186021,286.5056519,301.4920229,307.5339055,333.2593656,345.2109971,344.7447229,354.0006682,337.4421228,346.4438104,345.8597633,331.6298452,355.1475438,354.767887,339.0643671,339.6249866,334.499049,335.7708016,341.6293525,340.0497173,337.1789285,335.3687455,332.5080999,320.59574,311.406433,306.5644692,309.8140242,309.1046661,317.3119689,323.3154084,330.7120872,309.6455522,320.5636522,332.7532736,339.4710074,351.4035217,363.2402706,374.2851015,
Georgia,..,..,..,..,..,753.0680544,800.3988451,841.5041709,870.5453886,903.7972201,1003.659831,1019.334209,1039.09813,1097.090363,1184.160642,1262.088864,1329.907163,1412.613041,1508.15699,1608.788297,1670.467042,1745.195776,1766.286302,1827.291524,1909.824594,1986.029167,1805.678013,1810.231899,1894.393726,1750.086024,1492.951713,1186.971185,662.8804505,476.890766,435.272968,454.3891003,513.0813183,574.9047678,600.228772,624.9861617,644.3866296,683.8379767,730.1593129,820.7630057,879.3518603,975.4202877,1079.932098,1228.933029,1268.309901,
Germany,..,..,..,..,..,..,..,..,..,..,11858.57672,12129.56171,12594.60085,13156.02601,13269.25909,13204.40568,13921.98007,14415.77391,14865.25605,15478.05503,15656.22434,15716.00206,15670.53447,15960.33781,16469.07358,16884.56347,17264.10518,17480.9856,18058.52027,18617.32707,19427.67081,20271.81175,20566.24512,20267.52672,20714.17248,21073.22455,21212.54748,21553.48276,21997.51382,22428.93864,23114.23326,23365.89045,23316.33125,23256.36195,23544.28455,23739.68845,24470.03405,25105.64557,25472.79209,
Ghana,279.8703983,280.5427046,283.1533573,286.9146208,285.1786561,281.813093,263.7663411,266.3821567,262.1516008,272.1512324,291.7449259,298.9898736,283.3297895,283.1622225,294.4840546,251.8150886,238.1365754,239.4075221,255.3743554,244.1350125,239.4183697,224.3389322,201.9659027,186.0752454,195.2790247,198.655315,202.7990967,206.6067174,212.3820044,217.1973093,218.2652329,223.3214164,225.377306,229.5976925,230.5841493,233.6218306,238.0584272,241.845445,247.0476932,251.7434942,254.8728073,258.8398483,264.2029641,271.57962,280.3566639,290.3960803,302.3836792,312.9447436,328.8878012,
Greece,3418.624799,3767.660826,3802.797576,4172.44643,4501.097288,4900.834777,5161.09647,5380.289615,5722.424554,6265.989646,6749.080582,7246.967852,7931.181955,8534.601211,7955.718856,8382.732934,8839.861474,8961.035447,9487.107489,9677.394267,9646.938547,9413.10131,9248.493281,9095.780515,9232.716399,9428.211084,9448.479239,9200.885697,9560.994323,9872.178585,9803.196725,10009.57777,9972.717576,9723.149616,9835.845568,9965.878435,10129.47113,10431.70799,10724.87126,11042.67629,11500.64754,11947.84141,12316.47615,12961.48795,13551.72926,13891.46102,14458.24913,14982.25524,15360.77443,
Greenland,..,..,..,..,..,..,..,..,..,..,9243.239951,10272.43459,10659.09059,11220.02901,11740.9537,11791.75061,12471.19067,13654.09299,14532.51977,15117.04146,16232.46669,16083.69016,15224.12215,15569.60088,14594.41633,14985.97918,15958.78356,16653.59763,17361.16383,18349.93852,16112.32709,16123.44053,15354.55447,14607.71893,15391.37131,15878.90827,16091.93216,16299.1216,17533.68875,17774.25784,19004.00345,19192.91784,18922.4082,18794.82947,19248.01507,19619.50498,20190.60427,20414.48122,..,
Grenada,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1658.819805,1770.703144,1887.866974,1870.407718,1853.706126,1892.477352,1889.230407,1930.209006,2055.619364,2219.972539,2486.658264,2606.590655,2798.953096,2962.264253,3024.644155,2991.987067,2879.975344,2926.474094,2974.984115,3080.468122,3214.14041,3421.016698,3763.177148,4244.518811,4070.66949,4148.361809,4486.778921,4184.456891,4674.238661,4569.666557,4720.479099,4802.262066,
Guatemala,963.3993453,978.1595707,985.8452134,1051.18557,1070.63841,1087.647173,1117.18293,1132.363394,1199.014191,1222.370673,1257.485926,1291.770072,1348.796163,1401.35979,1451.195469,1441.380332,1509.253291,1587.627203,1627.132316,1663.11526,1683.995582,1653.435769,1555.750429,1478.408475,1449.621533,1406.445757,1375.608664,1391.707289,1413.08311,1435.537402,1446.418127,1464.99505,1500.518921,1523.499595,1548.570087,1588.152521,1598.161873,1630.367921,1673.091422,1697.599122,1717.663164,1715.651011,1738.594078,1738.716331,1749.253817,1761.827264,1811.17432,1877.841227,1906.048755,
Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,333.3392393,332.4343754,325.720925,323.2597515,319.3695134,315.6681071,322.694706,323.697267,325.0855313,335.4270882,337.6134822,339.7181154,335.0332489,331.7526509,334.2113419,334.2939314,338.0659328,345.6429944,352.9229526,362.0911714,371.5257986,371.2462004,374.7377187,381.6700098,394.9106858,396.5215152,400.426937,402.0886425,400.5090751,410.1892847,
Guinea-Bissau,..,..,..,..,..,..,..,..,..,..,172.3779461,162.6786733,168.8998396,165.7998125,167.6539667,174.407481,176.1022796,157.0113692,170.7424969,168.0332954,137.0068003,157.9805511,161.4042515,153.3315749,164.6064757,168.4974792,164.0280012,165.4505471,169.428952,175.7492421,182.0582119,186.5215677,183.570718,182.3760965,183.2759816,186.5920224,203.4143702,211.8973196,149.1118984,157.2690772,165.2566381,161.6822615,146.5499676,142.0455997,141.6713049,143.1253999,140.708808,141.308847,142.7257586,
Guyana,678.7796083,690.9887635,680.4725135,582.2299919,633.0553575,683.8079402,703.5471537,718.117231,711.0977132,747.8892106,769.126084,785.4116681,754.5622614,760.3680164,814.484527,876.7400363,880.6947773,846.4708779,820.2068773,796.1082596,803.7212874,812.6885437,705.1399034,658.680786,628.0318248,646.2820786,644.3008018,654.6486452,634.8459515,606.7752979,590.1667831,625.5402353,672.7876685,725.0874609,783.8724547,820.9839608,885.2381723,941.216862,926.6515286,955.3843048,942.3595952,962.3969998,970.3856469,958.0854411,987.3031273,966.4871061,1015.48049,1070.208497,1103.794554,
Haiti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,514.7309,477.5987319,442.7036136,382.1132882,411.7120834,420.395363,423.4295929,424.4350152,427.8353694,423.7462116,411.9857612,403.9530793,398.682266,378.3528859,378.9042749,381.4174061,388.2232255,386.936262,
Honduras,749.9157682,739.2229105,756.2338571,757.8476023,773.8572018,818.7655218,838.711889,865.2841234,898.6111089,881.139373,888.9479783,899.3847551,924.8846208,969.4360632,929.7960863,921.4754571,987.3953688,1056.299503,1125.783319,1141.57806,1113.641953,1106.859725,1058.326464,1016.979024,1029.428917,1040.637922,1017.209106,1047.050888,1063.73537,1078.255862,1049.233926,1053.718112,1083.139686,1120.609907,1078.21553,1095.03416,1108.3498,1138.083512,1146.197853,1101.151111,1140.539787,1147.800037,1166.962335,1195.685975,1244.961888,1294.094395,1352.786333,1410.148736,1436.932804,
"Hong Kong, China",3079.773164,3435.597412,3773.667094,4071.588216,4435.428271,4855.403133,5142.448665,5112.174328,5166.821126,5693.657326,6085.328336,6396.666801,6965.655248,7950.063037,7948.843119,7762.950902,8928.082127,9824.685937,10465.08128,11061.73247,11880.19264,12685.69008,12855.00875,13416.5384,14603.58397,14544.50599,15958.57353,17885.43946,19267.94654,19493.10409,20188.06274,21161.4499,22263.1241,23206.46071,24054.11824,24123.30923,24043.54169,25049.87198,23344.55688,23713.64893,25374.51485,25313.42447,25665.54013,26489.27695,28508.7822,30394.72055,32320.11001,34040.73959,34587.12124,
Hungary,1453.897283,1515.400529,1602.566783,1689.045041,1762.665817,1775.207428,1900.582563,2035.33264,2126.743348,2264.88279,2363.532601,2503.290917,2648.581257,2819.938577,2976.333,3142.558316,3238.165214,3468.542845,3608.944572,3697.724676,3701.841479,3810.584183,3925.084873,3963.580187,4082.903719,4088.080662,4168.47922,4357.152437,4372.609149,4423.567591,4278.878809,3770.246491,3656.149951,3639.234568,3751.619895,3812.805724,3870.528237,4055.699473,4262.626557,4453.031104,4689.608437,4893.093258,5122.9563,5358.570188,5622.860438,5853.791066,6097.420956,6180.156595,6228.13329,
Iceland,10085.75752,9908.213989,10555.05442,11451.70681,12256.07411,12888.22763,13800.72219,13488.88699,12623.51411,12795.94814,13682.89671,15319.80817,16032.6763,16881.54363,17595.85598,17465.84023,18338.45412,19776.53725,20779.23523,21596.3998,22637.41121,23296.36587,23493.1951,22696.83778,23436.24197,24007.06496,25302.45469,27129.85461,26682.49553,26455.04062,26543.80856,26155.96229,24973.38872,25042.43137,25731.59456,25569.35545,26594.40261,27695.88514,29230.39849,30043.25736,30951.20315,31713.66839,31426.92804,32012.15475,34177.62817,36142.97781,36884.17483,37945.28223,37375.04865,
India,180.860704,183.7891986,185.3267882,192.4951793,202.0632824,192.6371725,188.1063365,198.1420954,200.0987544,208.2870334,214.0216687,212.5829609,206.6709884,208.761883,206.5066733,220.3201562,218.9095303,229.4972168,237.1304381,219.6679736,229.2585361,237.6568471,240.5521736,252.6092808,256.8078517,264.7855649,271.4697849,276.2813089,296.6272873,307.8821247,318.4107343,315.4786946,326.6270958,335.9180749,351.8665129,371.8074643,392.9176869,401.7892451,419.3959242,442.7890796,452.9693998,468.9604892,479.1229492,511.5428981,546.0289323,588.9880284,637.0760776,685.546891,717.5105318,
Indonesia,198.2518342,205.8269798,205.2154452,196.2081371,198.4808807,195.8453061,196.8198125,194.4315914,212.7575718,223.3281738,235.9014409,246.5375523,259.8086644,278.6406828,294.762195,305.9202787,317.0107131,336.8166737,359.8385012,377.0896614,401.2860604,424.8705715,420.6639695,446.9349481,469.4922561,476.4682919,495.4682959,512.2894905,535.2930388,573.9905615,615.3311188,659.5321873,696.1592092,735.3580378,779.108442,832.2803573,883.1493996,911.7505664,781.1792544,776.6550748,803.8816779,822.0259344,847.6277753,876.5191916,908.7585848,948.3662501,988.1686287,1037.511762,1087.460559,
Iran,..,..,..,..,..,980.8149146,1053.498772,1133.365421,1239.507863,1359.720251,1450.095113,1586.799482,1789.354834,1831.881862,1943.280142,1991.222488,2270.595519,2170.864708,1944.67326,1747.031035,1464.234386,1339.633277,1459.786664,1584.521375,1501.555596,1473.392479,1291.135541,1232.50481,1122.060305,1161.617731,1292.164719,1431.698693,1468.754727,1422.552622,1394.955512,1409.119415,1485.855218,1512.86497,1527.982196,1531.62396,1584.120419,1615.974032,1710.171709,1803.690586,1866.85946,1924.388313,2008.424418,2137.431341,..,
Iraq,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,700.3473065,915.9666299,1109.099486,1029.813836,937.9334768,843.2752783,482.6962105,689.5692745,..,..,..,..,
Ireland,5046.753571,5329.993402,5478.102208,5697.75122,5884.559017,5973.306748,6009.936244,6322.576419,6813.262918,7180.737356,7282.919989,7464.759381,7828.289476,8067.195569,8273.559645,8595.732444,8577.916786,9157.469242,9691.200672,9828.84688,10033.19729,10240.37203,10362.83038,10266.71564,10637.88349,10932.05244,10882.13165,11370.30652,12018.79814,12794.38082,13892.26979,14080.39968,14455.22018,14785.27096,15603.88339,16926.37859,18160.06247,20045.45931,21509.42791,23549.33917,25383.85586,26430.39964,27662.26255,28448.63092,29254.20137,30440.39861,31410.22984,32568.19193,31100.44097,
Isle of Man,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8243.400807,8247.780252,9706.608695,10470.55922,11458.13971,12001.32664,12317.21654,12400.08747,12437.40625,12724.61081,13189.82524,13667.30484,14578.43334,15636.67675,17506.80179,19631.08135,20415.81647,21261.622,22265.53956,23448.48957,24475.96884,25772.31327,27662.2497,29698.8964,..,
Israel,5823.499751,6265.586058,6576.846542,7017.107423,7280.286668,7675.365156,7476.718594,7375.228822,8395.714526,9289.409203,9643.093536,10393.45819,11516.83369,11429.78377,11853.61541,11970.47201,11860.22966,11596.69333,11902.17132,12329.43309,12864.02796,13259.55437,13248.23085,13466.14471,13411.42253,13631.28666,14065.1204,14834.52876,14886.07467,14762.8712,15291.37732,15507.01714,15823.39171,16264.55352,16947.43991,17602.52376,18113.311,18172.67354,18521.62859,18651.90344,19836.09816,19365.77918,18853.45054,18795.98694,19389.69258,20022.23675,20710.62996,21404.82624,21869.22868,
Italy,5819.181179,6254.87341,6597.990722,6917.543969,7052.866374,7222.279231,7595.198629,8081.64578,8556.369499,9026.934002,9456.147572,9583.201637,9880.771578,10513.33034,11019.12529,10724.5884,11431.64187,11674.68917,12010.03855,12688.90392,13097.15815,13191.83276,13236.55329,13386.58059,13815.23684,14197.78434,14603.06276,15067.58986,15692.09583,16211.49408,16530.53885,16772.34856,16890.38315,16730.02198,17086.45637,17569.03568,17756.26752,18078.85265,18326.67174,18591.56241,19269.02218,19608.3271,19636.46465,19480.70826,19585.10021,19568.3267,19853.4483,20016.59727,19657.25118,
Jamaica,..,..,..,..,..,..,2761.258532,2778.83718,2906.531183,3033.249688,3355.427587,3389.612267,3938.668958,3663.773976,3456.217813,3400.875174,3134.723764,3021.14993,2989.179984,2923.993915,2719.611392,2753.569651,2762.259266,2763.863805,2674.566619,2560.793155,2581.413357,2766.534264,2869.404564,3051.28021,3159.362567,3290.136252,3330.939118,3617.771633,3639.523045,3695.012631,3646.808236,3570.86642,3456.523829,3468.980691,3479.056754,3505.002051,3521.834792,3687.514675,3721.299463,3742.167536,3825.26341,3861.50184,3795.133498,
Japan,7117.785943,7903.872287,8528.1729,9157.176207,10120.43227,10594.93497,11615.54048,12783.01851,14381.81136,15845.37529,17345.00752,17927.75777,19165.75904,20534.5742,19899.45542,20188.81737,20836.63638,21542.82858,22474.26573,23507.89466,23981.49533,24503.27518,25010.34866,25240.86146,25863.5003,27012.34249,27642.61315,28550.88145,30352.51022,31827.87375,33369.2837,34380.51906,34628.62186,34628.78225,34890.15667,35438.51181,36318.45245,36792.28976,35947.34544,35828.38344,36789.21969,36776.18059,36786.98943,37227.24384,38235.98372,38971.84258,39771.95293,40719.02481,40455.1262,
Jordan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1118.724641,1341.560226,1377.250707,1605.119331,1686.25907,1931.681341,1945.674956,2007.454797,1967.261136,2057.323839,2053.809713,2117.769951,2100.99395,1990.73395,1662.048979,1617.880332,1473.123449,1660.043442,1660.018529,1676.305198,1723.089546,1706.167718,1709.60361,1708.133111,1734.700478,1764.229892,1811.871989,1870.859069,1901.469356,2015.048627,2129.780417,2248.405333,2369.941029,2476.157691,
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1611.712548,1425.486538,1350.872287,1234.754798,1094.947091,1022.929651,1043.733143,1078.38076,1076.31023,1115.949686,1229.003105,1397.293725,1534.166558,1671.209204,1818.956877,1977.743154,2166.321179,2332.293725,2377.654739,
Kenya,260.8683847,233.2257794,247.3743118,260.6556172,264.9272411,261.5969781,290.4221899,290.3754751,303.1774079,316.3051388,291.2707878,343.4959293,388.0070974,396.2409814,397.5149624,386.4866981,380.4301376,401.1654742,413.1281635,428.1346039,435.2358378,434.7507084,424.7592898,414.2563917,405.9509946,407.9883262,421.6180679,430.9403455,441.8458977,446.819414,449.9382023,441.3125999,423.5405222,411.5531026,409.4695518,414.9919822,420.1092219,410.7578437,413.1934512,411.8317275,403.6584537,408.1575305,399.864471,401.0217432,410.6336637,423.639829,438.713272,457.6291435,453.2221221,
Kiribati,..,..,..,..,..,..,..,..,..,..,1162.74459,1116.786449,1231.466116,1465.384898,2095.120699,2170.249664,1567.053439,1469.871231,1457.890129,1263.567288,687.784131,649.9135798,678.575256,722.6873058,697.6339661,650.730549,646.4507003,613.1900479,709.7161285,635.4531628,640.0334186,601.2846521,625.9388403,636.4374957,661.2171066,669.9957122,684.5375932,702.1306102,793.9189748,804.1201734,794.692929,771.3115393,802.0432535,844.2580803,828.5473065,836.122033,832.6213372,813.9809816,825.6008914,
"Korea, Rep.",1109.861594,1131.945145,1128.557167,1204.107944,1262.730417,1351.030389,1486.771558,1541.546175,1683.820679,1879.799718,1993.647968,2113.436226,2163.408247,2375.961155,2497.228163,2595.124828,2824.02684,3058.248755,3292.159227,3462.548665,3358.228463,3510.04716,3709.396931,4048.952559,4323.281353,4572.112231,5011.197246,5515.284803,6044.027724,6390.011522,6895.465913,7473.60979,7841.153099,8247.875425,8872.008598,9548.013259,10119.29756,10491.08008,9701.671312,10546.81042,11346.66311,11710.57788,12478.0616,12764.26987,13303.8178,13801.82716,14468.78983,15157.63985,15446.59664,
Kuwait,..,..,59182.83093,54622.39773,52684.29619,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19048.41942,18232.82109,17872.2604,18097.17306,17098.58001,17222.83629,16700.21352,16759.79807,19158.00883,20570.34126,22069.62991,22645.64934,23072.13076,..,
Kyrgyzstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,397.0682672,401.7925034,444.46793,448.2354197,464.9063089,421.5440847,358.924716,303.6377561,242.811973,227.1456829,239.7331522,259.710884,261.2407103,267.0281226,278.6588723,291.1634601,288.8741423,306.3969763,324.4369788,320.6751674,327.2747078,352.1966003,375.8693572,
Laos,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,206.8395049,211.3728153,215.5657114,206.6477703,196.7389826,218.3889232,226.5709573,229.8395922,236.0943491,243.4530001,256.4909935,267.5474275,278.9331111,290.8125389,295.248758,309.8452732,321.1294605,333.3929319,347.1520515,362.4872475,379.5234673,399.738829,425.9535987,450.0901245,474.9209888,
Latvia,..,..,..,..,..,1557.311473,1569.591539,1696.866687,1754.989845,1775.972082,2088.728354,2231.874752,2327.212424,2441.670898,2539.43881,2691.726041,2806.571687,2859.298206,2915.362819,3054.718675,3160.680562,3275.116568,3332.555827,3484.836051,3664.127746,3628.086651,3777.292028,3842.291033,4013.898897,4216.821026,3901.187047,3420.967939,2348.670808,2271.333574,2355.689476,2364.05147,2477.310734,2727.392029,2903.606504,3065.489278,3302.305407,3587.588464,3854.105474,4153.934323,4538.902448,5046.8888,5695.361455,6296.227116,6034.258159,
Lebanon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4275.93489,2442.23782,3039.97207,4092.084677,4133.652691,4262.481627,4447.824929,4605.429859,4738.24119,4554.93359,4657.663432,4578.743325,4575.57528,4681.140705,4757.615993,4828.896449,5109.74755,5092.582055,5067.728682,5399.280764,5814.485789,
Lesotho,133.3449996,133.5018441,151.2335118,164.2228466,174.4397827,174.79341,170.6969727,185.570489,181.1718665,180.2410966,180.4001171,185.7273044,181.5098626,224.6127431,243.9127375,206.2877993,223.9172501,266.5096815,307.9299069,309.1399751,293.0728482,287.3659997,286.8026662,270.308897,291.0275784,298.7316924,294.4476868,288.1260435,307.9031729,323.7144253,338.0713743,343.0315621,362.6208405,369.957732,386.1701849,393.334747,405.2630561,412.0476897,405.3029464,403.1213857,414.6682851,421.433998,423.2817198,435.4256571,450.8790603,449.7183109,481.6904653,501.5867624,516.8730063,
Liberia,679.4385285,675.0165714,663.5181992,658.2580452,671.4223062,682.5159513,712.9918478,738.2417133,750.5447396,782.085874,811.0786157,828.2948546,840.4678234,800.5187819,816.4144068,766.1329991,783.5486487,772.620188,785.311153,785.2719335,728.2602574,688.0839019,647.8882253,615.0403829,586.3164648,571.0427413,555.8175472,548.2934489,539.0874883,400.0349535,199.8314662,176.7798512,119.4377934,83.09306085,66.10010888,62.23671965,66.09632798,125.6755385,148.8391663,168.504004,198.5889571,195.1527191,195.7961119,131.0400008,130.8284072,133.2347633,137.9665158,144.4330132,147.9138981,
Libya,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6239.388235,6340.109115,5944.993456,5748.824001,6364.257301,6509.296649,7008.619143,7272.088553,7553.515782,7684.609899,
Liechtenstein,..,..,..,..,..,..,..,..,..,..,32639.40444,32507.32313,32474.10563,32454.82728,32480.22761,32524.50533,42290.6461,43617.11828,42248.58724,41816.0233,37896.4135,39114.99891,37918.88925,37550.1234,38589.32804,40719.65507,41783.29107,45039.44622,46943.84019,48419.85814,48881.02124,49097.10891,50213.72918,51699.12776,54531.83122,57019.71731,60185.97508,63760.10542,67899.63609,74087.57472,75584.9985,74172.32765,72602.01233,70402.18958,71767.62604,74486.19656,76196.04913,77880.32418,..,
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4343.446418,4090.290546,3224.218761,2713.496637,2465.228981,2564.565174,2704.621251,2914.367404,3148.498561,3116.146186,3267.355382,3505.699411,3759.490327,4162.536588,4492.779825,4873.509943,5287.136551,5790.495252,5996.264645,
Luxembourg,13670.52357,14020.46153,14039.20659,14397.1081,15317.79413,15068.23534,15152.96726,15167.68687,15741.23383,17208.80402,17435.92764,17631.11442,18621.6576,19912.46134,20478.3457,18967.93323,19427.09918,19688.5202,20456.95099,20867.69271,20962.35023,20807.04952,21048.17656,21671.4164,22974.36297,23551.35081,25741.58726,26600.27615,28727.73871,31183.34098,32476.71748,34814.6815,34980.41643,35963.84692,36832.87994,36839.24508,36892.80877,38597.00891,40593.80256,43420.5242,46456.62444,47063.71028,48485.13307,48640.83806,50135.12097,51934.26263,54405.82676,56358.1172,54843.62355,
"Macao, China",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9336.478458,9759.360318,10213.20306,9933.251488,10170.48228,11119.97948,11553.09742,11771.96585,12520.99733,12631.57869,13992.09577,14437.66507,14803.4959,15144.83196,14871.0715,14640.1568,13795.55123,13288.75072,13839.4718,13998.92212,15131.4616,16930.04083,21090.79311,22032.09119,25034.92856,30556.04402,33732.33055,
