,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Bangladesh,235.6860717,244.2785622,251.6699598,244.6792551,265.0511392,262.8316482,262.9970662,251.6764513,268.6477816,265.0199152,272.7189509,251.0791954,210.3333605,211.5947613,225.7471871,210.7694794,216.7912736,216.6886551,225.8776765,230.4627167,226.2112317,228.6176547,227.9087213,230.9137902,236.7015041,238.2760312,242.4098133,245.553653,245.1221749,245.9252735,254.8806176,257.8236664,265.2386213,271.7842951,277.2810562,285.2466249,292.6637557,302.5535936,312.3997396,321.5857053,334.5732446,346.020152,355.0815376,367.4835477,384.1919403,400.7032405,420.8331757,441.3836508,462.1229976,
Barbados,3380.335487,3629.332642,3942.535004,3725.652276,3895.338449,4324.781769,4484.590982,4949.137222,5278.561032,5658.19284,6171.650029,6380.445882,6422.964204,6467.926012,6131.001968,6345.55558,6317.167642,6576.018451,6964.165164,7480.766119,7811.855716,7534.186066,7127.581767,7108.437549,7312.753606,7314.781657,7965.48613,8007.396216,8469.458465,8864.075721,8418.07773,8164.229941,7758.764685,7845.898237,8178.238202,8329.86432,8523.170955,9120.598665,9552.283779,9849.465131,10168.04705,9971.084177,9761.015224,..,..,..,..,..,..,
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1409.778358,1392.177841,1255.818546,1157.769768,1023.510248,920.0339044,948.9599152,1061.634484,1156.297823,1199.662852,1273.049124,1337.849951,1411.756736,1518.999766,1701.450828,1871.393576,2067.609425,2253.464111,2484.773203,
Belgium,7485.878617,7818.26212,8179.347635,8475.513974,8983.835904,9223.957026,9455.011164,9770.392764,10145.1445,10791.86452,11447.65555,11834.31011,12410.0926,13130.66427,13640.08174,13421.97187,14157.5632,14230.24699,14622.75301,14954.42602,15608.44248,15556.95194,15643.16278,15691.94896,16083.87165,16341.24973,16632.36429,17002.22479,17747.72539,18296.90312,18815.29031,19089.14344,19303.18542,19042.62766,19596.69785,20022.07189,20221.04081,20881.9139,21187.32859,21862.03556,22623.27831,22725.23195,22965.45132,23096.79817,23679.03843,23984.09983,24538.23442,25030.15923,25103.22442,
Belize,950.5382803,963.2295629,974.8879261,987.589548,1003.241675,1022.01646,1042.637474,1067.903436,1122.27672,1157.5109,1193.172351,1222.591048,1331.190207,1386.051578,1552.210615,1579.830848,1546.377991,1606.917122,1688.301801,1766.381085,1980.805368,1954.263263,1898.626018,1821.493236,1799.872373,1772.912444,1808.312421,1956.029494,2082.053733,2310.91293,2477.777778,2667.307538,2913.254327,3005.488891,2924.636576,2868.693906,2837.592929,2835.992872,2837.231872,3027.95055,3330.954622,3394.169226,3460.965726,3666.072376,3714.673388,3704.090527,3753.078598,3677.924353,3690.934492,
Benin,274.0190294,278.1673302,264.1555471,271.8007582,284.565664,293.9162589,298.4003832,295.4389223,300.3120362,302.2557598,301.746968,290.4901336,301.9956202,305.7617136,308.2850258,285.8683149,281.0084968,287.2828505,283.1039225,293.3769232,304.571997,325.402405,323.0776388,300.0261139,314.3790316,328.2401706,325.7458618,311.7053192,312.9524045,294.7660513,294.4292456,297.7803535,298.6732028,298.0614025,300.2321698,303.6706765,310.5843588,319.9731026,324.8651028,330.1415042,338.5983794,344.1684612,347.8345967,349.3561954,348.2322303,346.6306386,349.2742461,353.8091039,360.307483,
Bermuda,20956.07207,21406.14189,21834.9624,21559.574,23367.22716,23893.60671,26843.38196,29822.10215,29875.41011,30329.79674,31658.04218,32986.18608,33831.9752,34589.20446,35153.98712,36753.94174,39888.68571,42082.89079,42534.95403,43287.07331,46552.70874,47310.65882,44483.01314,45047.82841,44939.04576,43724.13714,45901.37589,46881.15156,48034.80641,47519.42872,46821.5241,44796.45377,44769.69128,46116.62059,46166.09201,47884.5469,49061.42109,51265.66735,53200.47216,54923.53615,56459.1599,57239.89497,59732.75538,61179.37056,63116.16121,66224.29649,69636.14897,72637.424,..,
Bhutan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,265.1481375,279.9351504,293.4141488,307.8267917,312.2656109,326.3309504,378.8654476,422.2081696,438.2402891,473.4455754,499.1369237,518.4729199,547.7809108,578.6308506,619.452671,655.4224716,680.6954992,702.100482,729.8594754,762.344754,791.4810832,835.4036648,882.5022869,917.6540252,954.3123622,993.6221123,1112.964166,1247.043128,
Bolivia,895.6296711,894.2674334,923.3556732,960.952358,984.6297665,1016.675805,1058.246903,1105.591202,948.7162035,955.2974899,928.1076451,951.7565332,1002.755132,1034.566803,1039.162867,1088.266097,1111.204684,1138.674171,1134.74127,1110.110482,1070.327451,1049.868752,987.0264263,927.1933339,905.8115686,871.6075399,830.8097156,832.6867724,837.9933249,850.3230291,869.6465076,894.5313631,888.3196713,904.9464171,925.6897113,947.4734308,967.3768001,993.8132651,1022.119343,1005.428836,1009.677001,1005.954643,1010.375775,1017.356393,1039.377727,1115.979279,1145.488803,1124.96281,1173.237398,
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,375.996886,471.917418,898.8621585,1186.480026,1326.39915,1404.837449,1445.07598,1486.61276,1553.920319,1613.080842,1712.06846,1797.904837,1909.266882,2041.484249,2155.161458,
